workload,result_set,run,rank,sec,clat_avg_us,iops,bandwidth_mib_s,run_clat_avg_us_median,run_clat_avg_us_mad,robust_z,is_candidate_spike
rand_write,legacy_root,1,1,11.007,876.373,,,358.538,63.11099999999999,5.5343713061114554,True
rand_write,legacy_root,1,2,69.0,729.486,12094.0,47.2421875,358.538,63.11099999999999,3.9645137297776936,True
rand_write,legacy_root,1,3,55.0,723.887,10471.0,40.9033203125,358.538,63.11099999999999,3.9046743119266054,True
rand_write,legacy_root,1,4,17.002,688.327,,,358.538,63.11099999999999,3.524626142827717,True
rand_write,legacy_root,1,5,91.0,666.011,12567.0,49.08984375,358.538,63.11099999999999,3.2861234729286495,False
rand_read,rand_read_120s_repeat3,1,1,36.0,1101.555,,,379.436,78.06099999999998,6.2395980771448,True
rand_read,rand_read_120s_repeat3,1,2,37.0,1025.763,9628.0,37.611328125,379.436,78.06099999999998,5.584703776533738,True
rand_read,rand_read_120s_repeat3,1,3,84.0,1025.416,9797.0,38.2724609375,379.436,78.06099999999998,5.581705461113746,True
rand_read,rand_read_120s_repeat3,1,4,8.019,952.83,,,379.436,78.06099999999998,4.954513175593448,True
rand_read,rand_read_120s_repeat3,1,5,9.002,758.662,,,379.436,78.06099999999998,3.27676992352135,False
rand_read,rand_read_120s_repeat3,2,1,7.003,1190.169,,,420.409,54.85500000000002,9.465009935283927,True
rand_read,rand_read_120s_repeat3,2,2,62.0,818.037,12344.0,48.2197265625,420.409,54.85500000000002,4.889255054233888,True
rand_read,rand_read_120s_repeat3,2,3,29.0,781.94,12340.0,48.203125,420.409,54.85500000000002,4.445404420745601,True
rand_read,rand_read_120s_repeat3,2,4,1.0,638.736,16049.0,62.69140625,420.409,54.85500000000002,2.684560413818247,False
rand_read,rand_read_120s_repeat3,2,5,81.039,638.381,,,420.409,54.85500000000002,2.680195314921155,False
rand_read,rand_read_120s_repeat3,3,1,52.014,1047.545,,,482.765,114.62,3.3235396091432565,True
rand_read,rand_read_120s_repeat3,3,2,7.002,1044.41,,,482.765,114.62,3.3050911926365383,True
rand_read,rand_read_120s_repeat3,3,3,73.0,942.465,10549.0,41.20703125,482.765,114.62,2.705179288082359,False
rand_read,rand_read_120s_repeat3,3,4,53.001,850.904,,,482.765,114.62,2.1663737175013087,False
rand_read,rand_read_120s_repeat3,3,5,27.017,848.828,,,482.765,114.62,2.154157158436573,False
rand_write,rand_write_120s_repeat3,1,1,14.0,570.043,,,267.549,9.62700000000001,21.1937470655448,True
rand_write,rand_write_120s_repeat3,1,2,29.0,470.237,,,267.549,9.62700000000001,14.201003012361056,True
rand_write,rand_write_120s_repeat3,1,3,4.0,395.377,20389.0,79.64453125,267.549,9.62700000000001,8.956059623974232,True
rand_write,rand_write_120s_repeat3,1,4,65.0,357.726,22776.0,88.9716796875,267.549,9.62700000000001,6.318103926456835,True
rand_write,rand_write_120s_repeat3,1,5,2.0,330.34,24612.0,96.142578125,267.549,9.62700000000001,4.3993486548249665,True
rand_write,rand_write_120s_repeat3,2,1,102.0,4909.748,9950.0,38.8671875,268.709,10.283000000000015,304.42291213653556,True
rand_write,rand_write_120s_repeat3,2,2,101.493,565.485,,,268.709,10.283000000000015,19.466635417679637,True
rand_write,rand_write_120s_repeat3,2,3,14.0,525.984,,,268.709,10.283000000000015,16.875618739667388,True
rand_write,rand_write_120s_repeat3,2,4,13.397,504.751,,,268.709,10.283000000000015,15.482867742876566,True
rand_write,rand_write_120s_repeat3,2,5,29.0,354.442,23171.0,90.51171875,268.709,10.283000000000015,5.623544539531257,True
rand_write,rand_write_120s_repeat3,3,1,43.0,579.063,,,270.926,14.514999999999986,14.318870582156404,True
rand_write,rand_write_120s_repeat3,3,2,42.0,561.574,,,270.926,14.514999999999986,13.506171271098875,True
rand_write,rand_write_120s_repeat3,3,3,21.001,514.481,,,270.926,14.514999999999986,11.317798656562188,True
rand_write,rand_write_120s_repeat3,3,4,13.0,455.66,,,270.926,14.514999999999986,8.58443561832588,True
rand_write,rand_write_120s_repeat3,3,5,22.0,448.847,,,270.926,14.514999999999986,8.267841164312786,True
rand_write,rand_write_300s_repeat3,1,1,273.001,904.174,9567.0,37.37109375,378.22950000000003,47.386000000000024,7.486379210104245,True
rand_write,rand_write_300s_repeat3,1,2,37.001,844.915,,,378.22950000000003,47.386000000000024,6.6428770048115435,True
rand_write,rand_write_300s_repeat3,1,3,9.015,812.309,,,378.22950000000003,47.386000000000024,6.178757919005609,True
rand_write,rand_write_300s_repeat3,1,4,35.034,800.152,,,378.22950000000003,47.386000000000024,6.005713211708097,True
rand_write,rand_write_300s_repeat3,1,5,33.0,783.563,10694.0,41.7734375,378.22950000000003,47.386000000000024,5.76958269847634,True
rand_write,rand_write_300s_repeat3,2,1,113.029,1397.831,,,425.896,82.93700000000001,7.904435384689582,True
rand_write,rand_write_300s_repeat3,2,2,97.0,1102.579,7150.0,27.9296875,425.896,82.93700000000001,5.503245638255542,True
rand_write,rand_write_300s_repeat3,2,3,128.0,1002.724,,,425.896,82.93700000000001,4.691156974571059,True
rand_write,rand_write_300s_repeat3,2,4,291.0,1000.23,7998.0,31.2451171875,425.896,82.93700000000001,4.670874073091624,True
rand_write,rand_write_300s_repeat3,2,5,19.0,971.459,,,425.896,82.93700000000001,4.436888764966177,True
rand_write,rand_write_300s_repeat3,3,1,7.003,1164.762,,,444.775,114.51599999999996,4.240728208285306,True
rand_write,rand_write_300s_repeat3,3,2,8.0,963.042,,,444.775,114.51599999999996,3.0525960695448684,False
rand_write,rand_write_300s_repeat3,3,3,24.005,919.756,,,444.775,114.51599999999996,2.797641242271823,False
rand_write,rand_write_300s_repeat3,3,4,47.004,905.363,,,444.775,114.51599999999996,2.7128663767508483,False
rand_write,rand_write_300s_repeat3,3,5,10.0,881.329,,,444.775,114.51599999999996,2.5713059572461496,False
