result_set,workload,run,window,sample_count,sec_min,sec_max,bandwidth_mib_s_mean,bandwidth_mib_s_min,bandwidth_mib_s_max,iops_mean,iops_min,iops_max,clat_avg_us_mean,clat_avg_us_min,clat_avg_us_max,first_iops_mean,last_iops_mean,iops_last_over_first,first_bandwidth_mib_s_mean,last_bandwidth_mib_s_mean,bandwidth_last_over_first,first_clat_avg_us_mean,last_clat_avg_us_mean,clat_last_over_first
legacy_root,rand_write,1,first_third,55,1.049,40.0,91.24446614583333,40.55859375,119.0,23358.410256410258,10383.0,30464.0,369.995925,57.226,876.373,23358.410256410258,22278.05,0.9537485537521213,91.24446614583333,87.0243896484375,0.9537497814864629,369.995925,388.23426829268294,1.0492933626030692
legacy_root,rand_write,1,last_third,74,81.0,120.031,87.0243896484375,49.08984375,122.02734375,22278.05,12567.0,31239.0,388.23426829268294,265.335,666.011,23358.410256410258,22278.05,0.9537485537521213,91.24446614583333,87.0243896484375,0.9537497814864629,369.995925,388.23426829268294,1.0492933626030692
legacy_root,rand_write,1,middle,51,41.0,80.0,83.320263671875,40.9033203125,121.0537109375,21329.775,10471.0,30989.0,414.787,267.778,729.486,23358.410256410258,22278.05,0.9537485537521213,91.24446614583333,87.0243896484375,0.9537497814864629,369.995925,388.23426829268294,1.0492933626030692
rand_read_120s_repeat3,rand_read,1,first_third,61,1.0,40.0,90.9524658203125,36.03125,172.23046875,23283.475,9224.0,44084.0,500.73159999999996,261.064,1101.555,23283.475,29407.714285714286,1.2630294354993956,90.9524658203125,114.87372116815476,1.2630083212378385,500.73159999999996,394.7401463414634,0.7883268128903058
rand_read_120s_repeat3,rand_read,1,last_third,57,80.001,120.0,114.87372116815476,38.2724609375,184.40234375,29407.714285714286,9797.0,47207.0,394.7401463414634,226.159,1025.416,23283.475,29407.714285714286,1.2630294354993956,90.9524658203125,114.87372116815476,1.2630083212378385,500.73159999999996,394.7401463414634,0.7883268128903058
rand_read_120s_repeat3,rand_read,1,middle,48,41.0,80.0,111.90166766826923,52.6767578125,153.27734375,28646.71794871795,13485.0,39239.0,387.213225,281.144,748.547,23283.475,29407.714285714286,1.2630294354993956,90.9524658203125,114.87372116815476,1.2630083212378385,500.73159999999996,394.7401463414634,0.7883268128903058
rand_read_120s_repeat3,rand_read,2,first_third,52,1.0,40.0,89.2243408203125,32.6796875,138.291015625,22841.25,8366.0,35402.0,475.46192499999995,305.531,1190.169,22841.25,25449.268292682926,1.114180191219085,89.2243408203125,99.41184737042683,1.1141785577394265,475.46192499999995,423.42556097560976,0.8905561911726366
rand_read_120s_repeat3,rand_read,2,last_third,60,81.001,120.0,99.41184737042683,61.3251953125,159.75390625,25449.268292682926,15699.0,40897.0,423.42556097560976,274.164,638.381,22841.25,25449.268292682926,1.114180191219085,89.2243408203125,99.41184737042683,1.1141785577394265,475.46192499999995,423.42556097560976,0.8905561911726366
rand_read_120s_repeat3,rand_read,2,middle,64,41.0,80.0,97.6739013671875,48.2197265625,152.4375,25004.325,12344.0,39024.0,427.11677499999996,282.247,818.037,22841.25,25449.268292682926,1.114180191219085,89.2243408203125,99.41184737042683,1.1141785577394265,475.46192499999995,423.42556097560976,0.8905561911726366
rand_read_120s_repeat3,rand_read,3,first_third,57,1.0,40.0,83.474560546875,36.47265625,149.6611328125,21369.625,9337.0,38313.0,528.377075,285.884,1044.41,21369.625,22791.780487804877,1.066550324949777,83.474560546875,89.03110708841463,1.066565747757598,528.377075,473.9109512195121,0.8969180792325483
rand_read_120s_repeat3,rand_read,3,last_third,55,81.0,120.0,89.03110708841463,46.96484375,144.30859375,22791.780487804877,12023.0,36943.0,473.9109512195121,293.442,830.062,21369.625,22791.780487804877,1.066550324949777,83.474560546875,89.03110708841463,1.066565747757598,528.377075,473.9109512195121,0.8969180792325483
rand_read_120s_repeat3,rand_read,3,middle,58,41.0,80.0,87.223974609375,37.892578125,144.671875,22329.2,9700.0,37036.0,526.5156,291.359,1047.545,21369.625,22791.780487804877,1.066550324949777,83.474560546875,89.03110708841463,1.066565747757598,528.377075,473.9109512195121,0.8969180792325483
rand_write_120s_repeat3,rand_write,1,first_third,53,1.0,40.0,114.01302083333333,58.921875,134.1884765625,29187.17948717949,15084.0,34352.0,292.071275,242.846,570.043,29187.17948717949,31370.48780487805,1.0748036759995114,114.01302083333333,122.54158727134147,1.0748034424109802,292.071275,266.1795609756097,0.911351384950847
rand_write_120s_repeat3,rand_write,1,last_third,53,81.0,120.0,122.54158727134147,100.234375,146.951171875,31370.48780487805,25660.0,37619.0,266.1795609756097,223.995,319.997,29187.17948717949,31370.48780487805,1.0748036759995114,114.01302083333333,122.54158727134147,1.0748034424109802,292.071275,266.1795609756097,0.911351384950847
rand_write_120s_repeat3,rand_write,1,middle,53,40.001,80.0,121.33793826219512,88.9716796875,139.404296875,31062.243902439026,22776.0,35687.0,268.2254,234.491,357.726,29187.17948717949,31370.48780487805,1.0748036759995114,114.01302083333333,122.54158727134147,1.0748034424109802,292.071275,266.1795609756097,0.911351384950847
rand_write_120s_repeat3,rand_write,2,first_third,53,1.0,40.0,118.242919921875,60.349609375,141.3828125,30270.025,15449.0,36194.0,281.070325,232.899,525.984,30270.025,29207.216216216217,0.9648890681859765,118.242919921875,114.09142736486487,0.9648901383714722,281.070325,409.7926756756757,1.4579720419637885
rand_write_120s_repeat3,rand_write,2,last_third,48,81.0,120.0,114.09142736486487,38.8671875,143.6044921875,29207.216216216217,9950.0,36762.0,409.7926756756757,208.687,4909.748,30270.025,29207.216216216217,0.9648890681859765,118.242919921875,114.09142736486487,0.9648901383714722,281.070325,409.7926756756757,1.4579720419637885
rand_write_120s_repeat3,rand_write,2,middle,54,41.0,80.0,124.1265869140625,98.47265625,146.2587890625,31776.175,25209.0,37442.0,262.76535,224.136,326.497,30270.025,29207.216216216217,0.9648890681859765,118.242919921875,114.09142736486487,0.9648901383714722,281.070325,409.7926756756757,1.4579720419637885
rand_write_120s_repeat3,rand_write,3,first_third,70,1.0,40.0,102.08428485576923,61.84375,128.9375,26133.48717948718,15832.0,33008.0,326.82917499999996,251.088,514.481,26133.48717948718,30787.414634146342,1.1780829103554211,102.08428485576923,120.26371951219512,1.1780825979445406,326.82917499999996,267.9,0.8196942638306388
rand_write_120s_repeat3,rand_write,3,last_third,82,80.072,120.099,120.26371951219512,89.68359375,130.77734375,30787.414634146342,22959.0,33479.0,267.9,249.209,316.861,26133.48717948718,30787.414634146342,1.1780829103554211,102.08428485576923,120.26371951219512,1.1780825979445406,326.82917499999996,267.9,0.8196942638306388
rand_write_120s_repeat3,rand_write,3,middle,80,40.037,80.0,116.313330078125,56.67578125,143.70703125,29776.075,14509.0,36789.0,291.111925,229.05,579.063,26133.48717948718,30787.414634146342,1.1780829103554211,102.08428485576923,120.26371951219512,1.1780825979445406,326.82917499999996,267.9,0.8196942638306388
rand_write_300s_repeat3,rand_write,1,first_third,135,2.15,100.0,72.99551578443878,36.95703125,106.81640625,18686.69387755102,9461.0,27345.0,463.79423232323234,90.819,844.915,18686.69387755102,22508.50495049505,1.204520451717535,72.99551578443878,87.92460163985149,1.204520588627655,463.79423232323234,386.0770099009901,0.8324316755019956
rand_write_300s_repeat3,rand_write,1,last_third,137,201.0,300.0,87.92460163985149,37.37109375,129.9892578125,22508.50495049505,9567.0,33277.0,386.0770099009901,248.758,904.174,18686.69387755102,22508.50495049505,1.204520451717535,72.99551578443878,87.92460163985149,1.204520588627655,463.79423232323234,386.0770099009901,0.8324316755019956
rand_write_300s_repeat3,rand_write,1,middle,136,101.0,200.0,92.421318359375,61.02734375,125.2265625,23659.71,15623.0,32058.0,355.70239000000004,258.323,525.174,18686.69387755102,22508.50495049505,1.204520451717535,72.99551578443878,87.92460163985149,1.204520588627655,463.79423232323234,386.0770099009901,0.8324316755019956
rand_write_300s_repeat3,rand_write,2,first_third,141,1.0,100.0,74.67623046875,27.9296875,107.1015625,19116.97,7150.0,27418.0,471.0118585858586,298.931,1102.579,19116.97,18529.76,0.9692833121566857,74.67623046875,72.382587890625,0.9692855067304873,471.0118585858586,471.106,1.0001998705816537
rand_write_300s_repeat3,rand_write,2,last_third,151,201.0,300.001,72.382587890625,31.2451171875,113.67578125,18529.76,7998.0,29101.0,471.106,284.865,1000.23,19116.97,18529.76,0.9692833121566857,74.67623046875,72.382587890625,0.9692855067304873,471.0118585858586,471.106,1.0001998705816537
rand_write_300s_repeat3,rand_write,2,middle,133,100.009,200.0,78.7896484375,24.9921875,129.25390625,20170.02,6398.0,33089.0,462.5823069306931,252.314,1397.831,19116.97,18529.76,0.9692833121566857,74.67623046875,72.382587890625,0.9692855067304873,471.0118585858586,471.106,1.0001998705816537
rand_write_300s_repeat3,rand_write,3,first_third,150,1.0,100.0,56.70416015625,27.62890625,115.015625,14516.1,7073.0,29444.0,622.8330404040404,280.84,1164.762,14516.1,23433.19801980198,1.6142902032778763,56.70416015625,91.53661625928218,1.6142839609483735,622.8330404040404,364.95254455445547,0.5859556588675927
rand_write_300s_repeat3,rand_write,3,last_third,140,201.0,300.0,91.53661625928218,46.1552734375,126.43359375,23433.19801980198,11815.0,32367.0,364.95254455445547,257.445,774.918,14516.1,23433.19801980198,1.6142902032778763,56.70416015625,91.53661625928218,1.6142839609483735,622.8330404040404,364.95254455445547,0.5859556588675927
rand_write_300s_repeat3,rand_write,3,middle,140,100.002,200.0,71.494189453125,38.5771484375,110.89453125,18302.32,9875.0,28389.0,470.65040594059406,290.766,841.902,14516.1,23433.19801980198,1.6142902032778763,56.70416015625,91.53661625928218,1.6142839609483735,622.8330404040404,364.95254455445547,0.5859556588675927
